# Every sprite in Celeste's atlases, generated -- see docs/celeste-assets.md.
# The dump mirrors this: celeste_graphics_dump/Graphics/Atlases/<atlas>/<path>.png
# frame is the untrimmed size the game draws; trim is the part actually stored.
atlas	path	frameW	frameH	trimX	trimY	trimW	trimH
CelestialResort	00	1068	650	0	0	1068	650
CelestialResort	00b	1068	650	111	37	690	160
CelestialResort	01	2136	1300	891	437	160	158
CelestialResort	02	1068	650	178	227	640	142
CelestialResort	03	1068	650	0	263	1048	387
CelestialResort	04a	2136	1400	0	0	864	1400
CelestialResort	04b	2136	1400	798	0	1338	1400
CelestialResort	05a	2136	1300	0	125	807	1175
CelestialResort	05b	2136	1300	807	274	655	839
CelestialResort	06	1068	650	618	335	450	315
Checkpoints	1	120	80	0	0	120	80
Checkpoints	10	120	80	0	0	120	80
Checkpoints	10_a-00	120	80	0	0	120	80
Checkpoints	10_c-00	120	80	0	0	120	80
Checkpoints	10_e-00z	120	80	0	0	120	80
Checkpoints	10_f-door	120	80	0	0	120	80
Checkpoints	10_h-00b	120	80	0	0	120	80
Checkpoints	10_i-00	120	80	0	0	120	80
Checkpoints	10_j-00	120	80	0	0	120	80
Checkpoints	10_j-16	120	80	0	0	120	80
Checkpoints	1H	120	80	0	0	120	80
Checkpoints	1H_04	120	80	0	0	120	80
Checkpoints	1H_08	120	80	0	0	120	80
Checkpoints	1_6	120	80	0	0	120	80
Checkpoints	1_9b	120	80	0	0	120	80
Checkpoints	2	120	80	0	0	120	80
Checkpoints	2H	720	480	0	0	720	480
Checkpoints	2H_03	720	480	0	0	720	480
Checkpoints	2H_08b	720	480	0	0	720	480
Checkpoints	2_3	120	80	0	0	120	80
Checkpoints	2_end_3	120	80	0	0	120	80
Checkpoints	3	120	80	0	0	120	80
Checkpoints	3H	120	80	0	0	120	80
Checkpoints	3H_06	120	80	0	0	120	80
Checkpoints	3H_11	720	480	0	0	720	480
Checkpoints	3H_16	120	80	0	0	120	80
Checkpoints	3_00-d	120	80	0	0	120	80
Checkpoints	3_08-a	120	80	0	0	120	80
Checkpoints	3_09-d	120	80	0	0	120	80
Checkpoints	4	120	80	0	0	120	80
Checkpoints	4H	120	80	0	0	120	80
Checkpoints	4H_b-00	120	80	0	0	120	80
Checkpoints	4H_c-00	120	80	0	0	120	80
Checkpoints	4H_d-00	120	80	0	0	120	80
Checkpoints	4_b-00	120	80	0	0	120	80
Checkpoints	4_c-00	120	80	0	0	120	80
Checkpoints	4_d-00	120	80	0	0	120	80
Checkpoints	5	120	80	0	0	120	80
Checkpoints	5H	120	80	0	0	120	80
Checkpoints	5H_b-00	120	80	0	0	120	80
Checkpoints	5H_c-00	120	80	0	0	120	80
Checkpoints	5H_d-00	120	80	0	0	120	80
Checkpoints	5_b-00	120	80	0	0	120	80
Checkpoints	5_c-00	120	80	0	0	120	80
Checkpoints	5_d-00	120	80	0	0	120	80
Checkpoints	5_e-00	120	80	0	0	120	80
Checkpoints	6	120	80	0	0	120	80
Checkpoints	6H	120	80	0	0	120	80
Checkpoints	6H_b-00	120	80	0	0	120	80
Checkpoints	6H_c-00	120	80	0	0	120	80
Checkpoints	6H_d-00	120	80	0	0	120	80
Checkpoints	6_00	120	80	0	0	120	80
Checkpoints	6_04	120	80	0	0	120	80
Checkpoints	6_after-00	120	80	0	0	120	80
Checkpoints	6_b-00	120	80	0	0	120	80
Checkpoints	6_boss-00	120	80	0	0	120	80
Checkpoints	7	120	80	0	0	120	80
Checkpoints	7H	120	80	0	0	120	80
Checkpoints	7H_b-00	120	80	0	0	120	80
Checkpoints	7H_c-01	120	80	0	0	120	80
Checkpoints	7H_d-00	120	80	0	0	120	80
Checkpoints	7H_e-00	120	80	0	0	120	80
Checkpoints	7H_f-00	120	80	0	0	120	80
Checkpoints	7H_g-00	120	80	0	0	120	80
Checkpoints	7_b-00	120	80	0	0	120	80
Checkpoints	7_c-00	120	80	0	0	120	80
Checkpoints	7_d-00	120	80	0	0	120	80
Checkpoints	7_e-00b	120	80	0	0	120	80
Checkpoints	7_f-00	120	80	0	0	120	80
Checkpoints	7_g-00	120	80	0	0	120	80
Checkpoints	9	120	80	0	0	120	80
Checkpoints	9H	120	80	0	0	120	80
Checkpoints	9H_a-00	120	80	0	0	120	80
Checkpoints	9H_b-00	120	80	0	0	120	80
Checkpoints	9H_c-01	120	80	0	0	120	80
Checkpoints	9_a-00	120	80	0	0	120	80
Checkpoints	9_c-00	120	80	0	0	120	80
Checkpoints	9_d-00	120	80	0	0	120	80
Checkpoints	mask	720	480	0	0	720	480
Checkpoints	polaroid	900	760	26	96	848	648
Cliffside	00	1068	650	0	0	1068	650
Cliffside	01	1068	650	0	0	1068	650
Cliffside	02	1068	650	46	0	404	429
Cliffside	03	1068	650	819	0	249	650
Cliffside	04	1068	650	0	215	1068	435
Cliffside	05	1068	650	111	330	957	320
Cliffside	06	1068	650	17	29	1035	601
Cliffside	07	2136	1300	635	406	1319	894
Cliffside	08	1068	650	17	8	1041	622
Core	01	1068	650	0	0	1068	650
Core	02	2136	1300	25	0	2094	1300
Core	03	1068	650	0	55	1068	595
Core	04	1068	650	0	49	1068	601
Core	05	2136	1300	679	329	762	679
Core	06	1068	650	0	0	1068	650
Core	07a	1068	650	0	99	183	136
Core	07b	1068	650	0	250	519	400
Core	07c	1068	650	684	0	384	268
Farewell	00	1920	1080	0	0	1920	1080
Farewell	01	1920	1080	605	402	717	236
Farewell	02	1920	1080	430	0	1058	1030
Farewell	03	1920	1080	430	0	1058	1030
Farewell	04	1920	1080	430	0	1058	1030
